Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a ,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
E0,09/12/2017,Swansea,West Brom,1,0,81,,94,,,2.63,2.84,2.96,3.03
E0,09/12/2017,Tottenham,Stoke,5,1,"21,53,54,65,74",80,92,,,1.51,1.28,6.45,11.7
E0,09/12/2017,West Ham,Chelsea,1,0,6,,95,,,1.8,7.55,4.68,1.48
E0,10/12/2017,Liverpool,Everton,1,1,42,77,94,,,1.48,1.37,5.25,9.95
E0,10/12/2017,Man United,Man City,1,2,45,"43,54",94,,,1.83,3.42,3.57,2.23
E0,10/12/2017,Southampton,Arsenal,1,1,3,88,94,,,1.8,4.2,3.8,1.93
E0,12/12/2017,Burnley,Stoke,1,0,89,,94,,,2.38,2.4,3.23,3.4
E0,12/12/2017,Crystal Palace,Watford,2,1,"89,91",3,96,,87,1.84,2.27,3.53,3.39
E0,12/12/2017,Huddersfield,Chelsea,1,3,91,"23,43,50",92,,,1.95,9.21,4.48,1.45
E0,13/12/2017,Liverpool,West Brom,0,0,,,93,,,1.52,1.21,7.8,15.75
E0,13/12/2017,Man United,Bournemouth,1,0,25,,94,,,1.63,1.3,6.2,11.05
E0,13/12/2017,Newcastle,Everton,0,1,,27,94,93,,2.11,2.19,3.32,3.81
E0,13/12/2017,Southampton,Leicester,1,4,61,"11,32,38,69",93,,,2.04,1.94,3.49,4.56
E0,13/12/2017,Swansea,Man City,0,4,,"27,34,52,85",92,,,1.49,13,7.15,1.24
E0,13/12/2017,Tottenham,Brighton,2,0,"40,87",,93,,,1.62,1.22,7.2,16.5
E0,13/12/2017,West Ham,Arsenal,0,0,,,93,,,1.66,5.45,4.26,1.66
E0,16/12/2017,Arsenal,Newcastle,1,0,23,,94,,,1.46,1.26,6.9,12.45
E0,16/12/2017,Brighton,Burnley,0,0,,,94,,,2.8,2.5,2.89,3.64
E0,16/12/2017,Chelsea,Southampton,1,0,45,,94,,,1.72,1.4,5.09,9
E0,16/12/2017,Leicester,Crystal Palace,0,3,,"19,40,93",94,61,,1.92,1.77,3.85,5.1
E0,16/12/2017,Man City,Tottenham,4,1,"14,70,80,90",92,93,,,1.54,1.64,4.41,5.41
E0,16/12/2017,Stoke,West Ham,0,3,,"19,75,86",93,,,2.08,2.46,3.26,3.26
E0,16/12/2017,Watford,Huddersfield,1,4,68,"6,23,50,89",94,,,2.03,1.73,3.83,5.5
E0,17/12/2017,Bournemouth,Liverpool,0,4,,"20,26,44,66",93,,,1.57,7.35,5.25,1.44
E0,17/12/2017,West Brom,Man United,1,2,77,"27,35",95,,,2.07,6,3.75,1.7
E0,18/12/2017,Everton,Swansea,3,1,"45,64,73",35,93,,,2.25,1.8,3.52,5.53
E0,22/12/2017,Arsenal,Liverpool,3,3,"53,56,58","26,52,71",94,,,1.5,2.68,3.69,2.66
E0,23/12/2017,Brighton,Watford,1,0,64,,93,,,2.23,2.71,3.2,2.95
E0,23/12/2017,Burnley,Tottenham,0,3,,"7,69,79",93,,,2.03,6.8,4.29,1.56
E0,23/12/2017,Everton,Chelsea,0,0,,,94,,,2.05,7.16,4.13,1.56
E0,23/12/2017,Leicester,Man United,2,2,"27,93","40,6",95,73,,1.93,4.27,3.67,1.95
