Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
E0,11/11/2018,Chelsea,Everton,0,0,,,95,,,1.55,1.4,5.04,8.94
E0,11/11/2018,Liverpool,Fulham,2,0,"41,53",,93,,,1.24,1.1,11.92,26.16
E0,11/11/2018,Man City,Man United,3,1,"12,48,86",58,93,,,1.48,1.36,5.42,9.53
E0,24/11/2018,Brighton,Leicester,1,1,15,79,94,,,2.28,2.9,3.15,2.81
E0,24/11/2018,Everton,Cardiff,1,0,59,,95,,,1.8,1.47,4.34,8.88
E0,24/11/2018,Fulham,Southampton,3,2,"33,43,63","18,54",95,,,1.89,2.8,3.31,2.78
E0,24/11/2018,Man United,Crystal Palace,0,0,,,94,,,1.76,1.46,4.47,8.65
E0,24/11/2018,Tottenham,Chelsea,3,1,"6,16,54",85,94,,,1.74,3.09,3.44,2.47
E0,24/11/2018,Watford,Liverpool,0,3,,"67,76,89",94,,,1.65,6.29,4.46,1.56
E0,24/11/2018,West Ham,Man City,0,4,,"11,19,34,92",93,,,1.43,12.2,6.9,1.24
E0,25/11/2018,Bournemouth,Arsenal,1,2,46,"30,67",96,,,1.49,3.38,3.7,2.21
E0,25/11/2018,Wolves,Huddersfield,0,2,,"6,74",94,,,2.27,1.61,3.71,7.73
E0,26/11/2018,Burnley,Newcastle,1,2,40,"4,23",94,,,2.31,3.03,3.18,2.67
E0,30/11/2018,Cardiff,Wolves,2,1,"65,77",18,95,,,2.38,3.63,3.28,2.28
E0,01/12/2018,Crystal Palace,Burnley,2,0,"16,77",,94,,,2.08,1.56,4.07,7.28
E0,01/12/2018,Huddersfield,Brighton,1,2,1,"45,69",94,32,,2.74,2.43,2.93,3.76
E0,01/12/2018,Leicester,Watford,2,0,"12,23",,94,,90,1.98,2.36,3.3,3.41
E0,01/12/2018,Man City,Bournemouth,3,1,"16,57,79",44,93,,,1.25,1.13,9.87,22.77
E0,01/12/2018,Newcastle,West Ham,0,3,,"11,64,92",94,,,2.15,2.59,3.37,2.98
