Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
P1,10/11/2018,Porto,Sp Braga,1,0,88,,94,,,1.85,1.46,4.51,7.93
P1,11/11/2018,Guimaraes,Santa Clara,2,0,"26,81",,93,,,2.02,1.7,3.66,5.9
P1,11/11/2018,Sp Lisbon,Chaves,2,1,"23,86",81,95,,71,1.65,1.29,6.06,10.65
P1,11/11/2018,Tondela,Benfica,1,3,1,"9,64,75",92,85,,1.79,10.15,4.8,1.38
P1,30/11/2018,Santa Clara,Belenenses,2,3,"6,8","12,57,77",96,82,,2.31,2.2,3.19,3.87
P1,01/12/2018,Benfica,Feirense,4,0,"49,57,68,89",,93,,,1.53,1.18,7.87,16.95
P1,01/12/2018,Maritimo,Setubal,0,1,,86,98,,97,2.33,2.44,3.18,3.34
P1,01/12/2018,Sp Braga,Moreirense,2,0,"12,25",,94,,,1.65,1.4,4.95,8.76
P1,02/12/2018,Aves,Nacional,2,3,"32,88","21,65,84",94,,,1.94,1.79,3.94,4.61
P1,02/12/2018,Boavista,Porto,0,1,,94,97,,97,2,13.4,5.54,1.28
P1,02/12/2018,Chaves,Guimaraes,0,1,,36,94,,,2.11,3.15,3.23,2.51
P1,02/12/2018,Portimonense,Tondela,3,2,"13,29,46","1,62",94,,,1.91,2,3.32,4.44
P1,03/12/2018,Rio Ave,Sp Lisbon,1,3,12,"8,23,72",95,,,1.85,4.48,3.78,1.85
P1,07/12/2018,Porto,Portimonense,4,1,"23,57,59,64",9,92,,,1.42,1.16,8.46,19.96
P1,08/12/2018,Belenenses,Chaves,1,0,40,,95,,,2.12,2.22,3.17,3.86
P1,08/12/2018,Setubal,Benfica,0,1,,17,94,,,1.96,8.6,3.89,1.52
P1,08/12/2018,Tondela,Sp Braga,0,1,,31,94,81,,1.85,6.3,3.83,1.64
P1,09/12/2018,Guimaraes,Rio Ave,3,2,"17,43,87","22,53",94,,,1.96,1.89,3.49,4.7
P1,09/12/2018,Moreirense,Santa Clara,0,1,,52,97,77,,2.14,1.94,3.46,4.49
P1,09/12/2018,Nacional,Boavista,0,0,,,94,,,2.04,2.31,3.11,3.7
P1,09/12/2018,Sp Lisbon,Aves,4,1,"40,46,48,59",17,92,55,41,1.58,1.22,7.17,13.29
P1,10/12/2018,Feirense,Maritimo,1,1,70,94,97,,,2.42,2.69,2.84,3.31
P1,14/12/2018,Portimonense,Setubal,3,1,"10,42,58",60,93,,,1.96,2.07,3.58,3.78
P1,14/12/2018,Sp Braga,Feirense,4,0,"27,44,68,83",,93,,,1.74,1.29,5.58,12.68
P1,15/12/2018,Aves,Guimaraes,1,1,34,15,95,,,2.1,3.47,3.42,2.25
P1,15/12/2018,Boavista,Tondela,2,0,"16,34",,93,,,2.29,2.37,3.28,3.35
P1,15/12/2018,Chaves,Moreirense,1,2,77,"60,75",95,,,2.17,2.43,3.3,3.23
P1,15/12/2018,Santa Clara,Porto,1,2,38,"46,56",94,,,1.7,11.12,5.54,1.31
P1,16/12/2018,Maritimo,Benfica,0,1,,45,94,,,1.83,9.33,4.01,1.48
P1,16/12/2018,Rio Ave,Belenenses,2,2,"28,64","58,69",95,,,1.95,1.84,3.89,4.39
P1,16/12/2018,Sp Lisbon,Nacional,5,2,"35,70,75,87,91","6,26",95,,,1.36,1.25,6.54,12.09
P1,22/12/2018,Belenenses,Aves,5,2,"4,35,54,68,71","1,26",92,,,2.18,2.31,3.24,3.51
P1,22/12/2018,Feirense,Portimonense,0,1,,68,95,,,2.05,2.95,3.29,2.62
P1,22/12/2018,Moreirense,Boavista,2,1,"28,45",17,94,,36,2.42,2.05,3.17,4.5
P1,22/12/2018,Setubal,Santa Clara,0,2,,"15,49",93,,,2.15,2.02,3.39,4.22
P1,22/12/2018,Tondela,Maritimo,2,1,"30,88",27,98,,81,2.31,2.12,3.21,4.11
P1,23/12/2018,Benfica,Sp Braga,6,2,"19,39,48,54,63,67","51,73",93,,,1.85,1.61,4.04,6.26
P1,23/12/2018,Guimaraes,Sp Lisbon,1,0,26,,94,,,1.61,3.4,3.57,2.22
P1,23/12/2018,Nacional,Chaves,2,0,"35,76",,94,,,1.98,1.93,3.78,4.13
P1,23/12/2018,Porto,Rio Ave,2,1,"16,26",12,95,,92,1.42,1.16,8.53,17.62
P1,02/01/2019,Boavista,Setubal,1,0,58,,96,"72,91",,2.37,2.76,2.95,3.09
P1,02/01/2019,Nacional,Guimaraes,1,0,9,,94,,,1.93,3.11,3.44,2.42
P1,02/01/2019,Portimonense,Benfica,2,0,"12,38",,95,,72,1.66,6.44,4.69,1.51
P1,02/01/2019,Rio Ave,Moreirense,1,2,33,"66,69",96,,,1.93,2.23,3.48,3.45
P1,02/01/2019,Santa Clara,Tondela,1,2,81,"77,82",94,77,,2.11,2.12,3.28,3.99
P1,02/01/2019,Sp Braga,Maritimo,2,0,"8,13",,94,,,1.72,1.28,5.87,12.57
P1,03/01/2019,Aves,Porto,0,1,,25,96,,,1.64,10.75,5.66,1.31
P1,03/01/2019,Chaves,Feirense,0,0,,,94,,,2.28,1.89,3.36,4.94
P1,03/01/2019,Sp Lisbon,Belenenses,2,1,"57,8",90,95,,,1.57,1.36,5.1,9.89
P1,05/01/2019,Maritimo,Portimonense,2,1,"43,84",91,95,,,2.11,2.7,3.23,2.91
P1,06/01/2019,Belenenses,Guimaraes,1,0,31,,94,,,2.15,3.16,3.12,2.58
P1,06/01/2019,Benfica,Rio Ave,4,2,"27,31,64,70","17,2",94,,,1.53,1.22,6.97,14.16
P1,06/01/2019,Feirense,Santa Clara,2,2,"59,65","43,48",93,,,2.32,2.76,2.98,3.06
P1,06/01/2019,Setubal,Chaves,0,0,,,95,,,2.2,2.18,3.2,3.95
P1,06/01/2019,Sp Braga,Boavista,1,0,25,,94,,92,1.72,1.3,5.49,11.88
P1,07/01/2019,Moreirense,Aves,1,0,76,,94,,,2.05,2.12,3.27,4.02
P1,07/01/2019,Porto,Nacional,3,1,"32,38,57",40,99,,,1.33,1.13,10.53,17.85
P1,07/01/2019,Tondela,Sp Lisbon,2,1,"6,74",76,94,,,1.81,4.84,3.56,1.85
P1,10/01/2019,Portimonense,Sp Braga,1,1,3,49,94,91,37,1.76,3.94,3.59,2.03
P1,11/01/2019,Aves,Feirense,1,1,43,64,95,88,,2.34,2.06,3.29,4.23
P1,11/01/2019,Guimaraes,Moreirense,1,0,47,,94,70,,2.08,2.08,3.21,4.29
P1,11/01/2019,Santa Clara,Benfica,0,2,,"22,48",92,44,,1.75,9.35,4.29,1.44
P1,12/01/2019,Boavista,Maritimo,0,1,,53,99,,,2.59,2.18,3.01,4.24
P1,12/01/2019,Sp Lisbon,Porto,0,0,,,95,,,1.98,3.11,3.39,2.45
P1,13/01/2019,Chaves,Tondela,2,1,"20,57",97,97,,"27,62",2.26,2.34,3.51,3.21
P1,13/01/2019,Nacional,Belenenses,0,1,,78,94,,,2.07,2.28,3.33,3.49
P1,13/01/2019,Rio Ave,Setubal,1,1,27,84,96,63,,2.02,2.01,3.3,4.41
P1,18/01/2019,Chaves,Porto,1,4,76,"24,42,68,87",92,,,1.91,10.65,4.75,1.37
P1,18/01/2019,Guimaraes,Benfica,0,1,,81,95,,,2.02,4.33,3.12,2.11
P1,18/01/2019,Nacional,Sp Braga,0,3,,"61,73,86",92,,,1.73,4.17,3.64,1.95
P1,19/01/2019,Belenenses,Tondela,2,2,"2,48","33,45",96,,,2.26,2.27,3.22,3.64
P1,19/01/2019,Santa Clara,Maritimo,0,1,,23,93,,53,2.43,2.39,3.19,3.41
P1,19/01/2019,Sp Lisbon,Moreirense,2,1,"3,26",34,94,,,1.71,1.36,5.11,9.99
P1,20/01/2019,Aves,Setubal,2,1,"16,72",55,95,,64,2.27,2.53,3.29,3.07
P1,20/01/2019,Boavista,Portimonense,0,2,,"20,78",96,,,2.24,2.57,3.09,3.21
P1,20/01/2019,Rio Ave,Feirense,0,0,,,94,,,2.09,1.58,4.3,5.99
P1,28/01/2019,Feirense,Guimaraes,1,2,45,"5,46",95,,,2.45,4.44,3.34,1.99
P1,28/01/2019,Maritimo,Rio Ave,0,2,,"52,91",95,,,2.22,2.38,3.22,3.39
