Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
P1,25/11/17,Portimonense,Tondela,2,0,"31,77",,93,,,1.93,1.86,3.73,4.56
P1,26/11/17,Benfica,Setubal,6,0,"7,39,48,66,68,87",,92,,45,1.59,1.2,7.39,18.6
P1,26/11/17,Maritimo,Estoril,0,0,,,95,,,2.15,1.81,3.68,4.96
P1,26/11/17,Pacos Ferreira,Sp Lisbon,1,2,90,"20,75",94,,,1.84,11.5,4.7,1.38
P1,27/11/17,Rio Ave,Guimaraes,0,1,,39,95,,,2.08,2.33,3.38,3.34
P1,27/11/17,Sp Braga,Feirense,3,1,"9,36,38",45,94,,,1.81,1.39,5.12,9.13
P1,01/12/17,Porto,Benfica,0,0,,,94,,82,2.06,1.75,3.73,5.36
P1,01/12/17,Sp Lisbon,Belenenses,1,0,13,,94,,,1.53,1.19,7.7,18.3
P1,02/12/17,Chaves,Boavista,0,0,,,95,,,2.42,2.38,3.08,3.57
P1,02/12/17,Moreirense,Maritimo,1,1,26,30,94,70,,2.5,2.23,3.21,3.76
P1,02/12/17,Tondela,Rio Ave,1,3,53,"9,47,81",93,,,2.25,3.35,3.34,2.34
P1,03/12/17,Feirense,Aves,0,1,,91,95,69,,2.26,3.01,3.23,2.61
P1,03/12/17,Setubal,Guimaraes,1,2,88,"12,61",95,,,2.23,3.32,3.33,2.36
P1,03/12/17,Sp Braga,Pacos Ferreira,3,0,"70,80,87",,93,,65,1.78,1.48,4.52,7.9
P1,04/12/17,Estoril,Portimonense,0,0,,,95,,,1.84,2.72,3.42,2.75
P1,08/12/17,Rio Ave,Moreirense,2,1,"73,89",55,95,,,2.29,1.88,3.44,4.96
P1,09/12/17,Aves,Tondela,0,1,,51,95,91,,2.19,2.2,3.26,3.8
P1,09/12/17,Benfica,Estoril,3,1,"13,18,59",45,93,,,1.42,1.17,8.6,19
P1,09/12/17,Boavista,Sp Lisbon,1,3,65,"45,63,67",94,,,2.09,7.59,3.9,1.57
P1,10/12/17,Belenenses,Pacos Ferreira,1,1,81,44,98,,88,2.25,2.2,3.26,3.79
P1,10/12/17,Portimonense,Chaves,0,1,,93,95,,,1.86,1.91,3.84,4.14
P1,10/12/17,Setubal,Porto,0,5,,"31,40,45,69,82",91,,,1.74,18.02,6.25,1.23
P1,11/12/17,Guimaraes,Feirense,1,0,94,,96,,,2.01,1.56,4.09,7.05
P1,11/12/17,Maritimo,Sp Braga,1,0,55,,95,,,2.31,3.82,3.28,2.18
P1,15/12/17,Pacos Ferreira,Boavista,1,2,4,"62,75",95,,,2.61,2.63,2.99,3.22
P1,16/12/17,Estoril,Aves,3,2,"42,51,67","45,92",94,,,2.14,2.33,3.27,3.44
P1,16/12/17,Sp Braga,Belenenses,4,0,"37,56,88,94",,94,,,1.85,1.48,4.36,8.42
P1,17/12/17,Chaves,Rio Ave,1,1,72,6,99,,74,2.34,2.84,3.17,2.8
P1,17/12/17,Feirense,Setubal,1,0,21,,94,,,2.56,3.03,3.1,2.68
P1,17/12/17,Sp Lisbon,Portimonense,2,0,"9,6",,92,,55,1.44,1.24,6.85,13.2
P1,17/12/17,Tondela,Benfica,1,5,75,"17,26,46,60,78",92,,,1.75,9.71,4.81,1.4
P1,18/12/17,Moreirense,Guimaraes,2,1,"17,33",76,96,,72,2.23,3.09,3.37,2.47
P1,18/12/17,Porto,Maritimo,3,1,"19,46,78",26,93,,39,1.54,1.11,10.8,31
P1,23/12/17,Guimaraes,Tondela,0,1,,76,96,,,1.89,1.79,3.8,4.9
P1,03/01/18,Aves,Moreirense,1,2,77,"19,39",96,,,2.31,2.03,3.39,4.23
P1,03/01/18,Benfica,Sp Lisbon,1,1,90,19,94,,,2.09,2.48,3.31,3.13
P1,03/01/18,Boavista,Sp Braga,1,3,50,"14,79,88",94,78,59,2.4,4.4,3.25,2.13
P1,03/01/18,Feirense,Porto,1,2,26,"22,76",98,,84,1.73,20,7.6,1.19
P1,03/01/18,Maritimo,Chaves,1,2,83,"24,5",96,,,2.31,2.62,3.18,3.04
P1,03/01/18,Rio Ave,Pacos Ferreira,4,2,"43,49,59,92","70,79",94,69,,2.17,1.82,3.56,5.13
P1,04/01/18,Portimonense,Belenenses,0,0,,,94,,,2.04,1.83,3.74,4.75
P1,04/01/18,Setubal,Estoril,2,2,"63,74","81,87",94,,,2.3,2.76,3.23,2.83
P1,06/01/18,Sp Braga,Rio Ave,2,1,"19,83",42,94,,,2.04,1.75,3.82,5.23
P1,07/01/18,Chaves,Aves,1,1,79,46,94,,,2.2,2.11,3.46,3.83
P1,07/01/18,Moreirense,Benfica,0,2,,"23,74",92,,,1.64,8.72,4.94,1.41
P1,07/01/18,Porto,Guimaraes,4,2,"57,62,79,83","22,88",95,,,1.48,1.17,8.45,18.6
P1,07/01/18,Sp Lisbon,Maritimo,5,0,"21,50,74,78,91",,92,,,1.69,1.18,7.96,20.04
P1,08/01/18,Estoril,Feirense,0,2,,"21,56",93,,,2.2,1.95,3.38,4.6
P1,08/01/18,Pacos Ferreira,Portimonense,1,1,54,73,94,,34,2.03,2.81,3.28,2.75
P1,09/01/18,Belenenses,Boavista,1,1,15,90,96,,,2.95,2.29,2.92,4.07
P1,09/01/18,Tondela,Setubal,1,1,"47,54,95",74,96,,83,2.28,2.36,3.22,3.43
P1,12/01/18,Chaves,Guimaraes,4,3,"35,38,44,95","10,16,39",98,,,2.01,2.43,3.36,3.16
P1,13/01/18,Pacos Ferreira,Maritimo,0,0,,,94,,,2.34,2.29,3.14,3.71
P1,13/01/18,Sp Braga,Benfica,1,3,74,"11,64,91",95,,,1.96,3.77,3.38,2.16
P1,14/01/18,Belenenses,Rio Ave,1,2,53,"37,95",96,92,,2.29,2.58,3.15,3.12
P1,14/01/18,Boavista,Portimonense,2,0,"4,41",,95,,"40,93",2.35,2.74,3.12,2.95
P1,14/01/18,Sp Lisbon,Aves,3,0,"31,52,90",,94,,,1.46,1.18,7.73,19.61
P1,14/01/18,Tondela,Feirense,3,1,"47,54,95",74,96,,83,2.26,2.21,3.18,3.87
P1,15/01/18,Moreirense,Setubal,2,2,"38,89","7,25",96,,,2.42,2.45,3.01,3.52
P1,19/01/18,Porto,Tondela,1,0,13,,93,,,1.36,1.11,11.56,29.96
P1,19/01/18,Setubal,Sp Lisbon,1,1,94,31,96,,,1.84,9.05,4.82,1.41
P1,20/01/18,Benfica,Chaves,3,0,"13,19,47",,92,,,1.5,1.2,7.6,16.5
P1,20/01/18,Maritimo,Belenenses,0,0,,,94,,81,2.49,2.5,3.14,3.26
P1,20/01/18,Portimonense,Sp Braga,1,2,56,"8,1",93,,,1.89,3.2,3.47,2.36
P1,21/01/18,Aves,Pacos Ferreira,0,2,,"7,8",94,,,2.08,2.08,3.39,4
P1,21/01/18,Feirense,Moreirense,1,0,3,,96,,,2.44,2.87,3.02,2.9
P1,21/01/18,Guimaraes,Estoril,3,1,"19,48,92",45,94,,9,1.81,1.68,4.04,5.47
P1,21/01/18,Rio Ave,Boavista,2,0,"14,91",,95,,,2.37,2.09,3.27,4.14
P1,29/01/18,Belenenses,Benfica,1,1,86,96,97,97,,1.86,9.69,4.89,1.39
P1,29/01/18,Pacos Ferreira,Feirense,2,1,"16,75",12,93,,,2.35,2.17,3.08,4.17
P1,29/01/18,Portimonense,Rio Ave,4,1,"3,15,29,91",51,95,,,1.94,2.18,3.59,3.47
P1,30/01/18,Estoril,Tondela,3,0,"6,45,71",,93,,,2.07,2.19,3.33,3.72
P1,30/01/18,Moreirense,Porto,0,0,,,98,91,,1.72,16.09,6.13,1.25
P1,30/01/18,Sp Braga,Aves,2,0,"8,47",,93,,,1.74,1.69,3.91,5.63
P1,31/01/18,Boavista,Maritimo,2,1,"43,8",8,95,,,2.86,2.04,3.08,4.73
P1,31/01/18,Chaves,Setubal,2,2,"10,51","15,95",96,,,2.18,1.79,3.71,5.03
P1,31/01/18,Sp Lisbon,Guimaraes,1,0,84,,95,,,1.5,1.32,5.82,10.56
P1,03/02/18,Benfica,Rio Ave,5,1,"49,63,71,83,87",9,92,,,1.57,1.19,7.6,18.5
P1,03/02/18,Porto,Sp Braga,3,1,"14,38,73",31,94,,,1.76,1.31,5.4,13.35
P1,04/02/18,Estoril,Sp Lisbon,2,0,"27,3",,95,,,1.79,9.15,4.2,1.48
P1,04/02/18,Feirense,Chaves,1,2,34,"24,87",94,,,2.32,3.08,3.1,2.65
P1,04/02/18,Guimaraes,Pacos Ferreira,3,2,"5,31,50","22,75",95,,,1.96,1.81,3.82,4.71
P1,04/02/18,Tondela,Moreirense,1,2,19,"10,73",95,,,2.3,2.43,3.24,3.29
P1,05/02/18,Maritimo,Portimonense,0,3,,"13,18,29",92,,,2.2,3.24,3.12,2.52
P1,05/02/18,Setubal,Belenenses,3,0,"45,51,64",,93,,,2.39,2.52,2.92,3.49
P1,06/02/18,Aves,Boavista,3,0,"8,44,70",,97,,,2.42,,,
P1,09/02/18,Pacos Ferreira,Tondela,0,2,,"9,36",94,70,59,2.17,2,3.35,4.39
P1,10/02/18,Portimonense,Benfica,1,3,65,"6,77,94",95,,,1.66,7.58,4.46,1.5
P1,10/02/18,Rio Ave,Maritimo,3,0,"28,39,74",,93,,87,2.13,1.69,3.91,5.57
P1,10/02/18,Sp Braga,Setubal,3,1,"25,65,83",87,95,,,1.8,1.53,4.24,7.32
P1,11/02/18,Belenenses,Aves,2,5,"44,86","2,13,28,39,90",95,,,2.25,2.31,3.25,3.51
P1,11/02/18,Boavista,Guimaraes,1,0,58,,95,,,2.15,3.18,3.14,2.55
P1,11/02/18,Chaves,Porto,0,4,,"15,28,57,91",93,,,1.79,9.52,4.83,1.4
P1,11/02/18,Sp Lisbon,Feirense,2,0,"78,91",,94,,,1.57,1.17,8.02,23.41
P1,12/02/18,Moreirense,Estoril,1,2,10,"72,81",93,,,2.18,2.33,3.28,3.44
P1,16/02/18,Feirense,Portimonense,1,3,32,"26,69,88",95,,,2.16,3.35,3.19,2.42
P1,17/02/18,Aves,Maritimo,0,0,,,95,,,2.21,1.77,3.6,5.48
