Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
I1,26/11/17,Juventus,Crotone,3,0,"52,60,71",,91,,,1.52,1.16,8.4,28
I1,26/11/17,Lazio,Fiorentina,1,1,25,93,96,,,1.57,1.74,4.07,5.07
I1,26/11/17,Milan,Torino,0,0,,,94,,,1.66,1.79,3.92,4.91
I1,26/11/17,Udinese,Napoli,0,1,,33,93,,,1.51,10.69,5.69,1.33
I1,27/11/17,Atalanta,Benevento,1,0,75,,94,,,1.51,1.21,7.1,18.93
I1,01/12/17,Napoli,Juventus,0,1,,13,94,,,2.05,2.2,3.18,3.99
I1,01/12/17,Roma,Spal,3,1,"19,32,53",55,93,,9,1.51,1.25,6.5,15.2
I1,02/12/17,Torino,Atalanta,1,1,45,54,93,,,1.76,2.7,3.52,2.73
I1,03/12/17,Benevento,Milan,2,2,"50,94","38,57",96,,75,1.62,10.67,5.64,1.34
I1,03/12/17,Bologna,Cagliari,1,1,81,42,94,,,2.05,2.21,3.32,3.75
I1,03/12/17,Fiorentina,Sassuolo,3,0,"32,42,71",,94,,,1.6,1.63,4.2,5.91
I1,03/12/17,Inter,Chievo,5,0,"23,38,57,60,91",,92,,,1.64,1.42,4.85,9.12
I1,03/12/17,Sampdoria,Lazio,1,2,56,"80,91",94,,,1.59,3.88,3.85,1.99
I1,04/12/17,Crotone,Udinese,0,3,,"40,53,66",92,,,2.16,3.35,3.26,2.41
I1,04/12/17,Verona,Genoa,0,1,,45,94,,,1.99,3.49,3.45,2.25
I1,09/12/17,Cagliari,Sampdoria,2,2,"56,6","11,19",92,,,1.65,2.48,3.42,3.08
I1,09/12/17,Juventus,Inter,0,0,,,93,,,1.88,1.96,3.45,4.53
I1,10/12/17,Chievo,Roma,0,0,,,94,,,1.75,5.97,4.12,1.64
I1,10/12/17,Milan,Bologna,2,1,"10,76",23,94,,,1.94,1.55,4.24,7.18
I1,10/12/17,Napoli,Fiorentina,0,0,,,93,,,1.43,1.47,4.75,7.71
I1,10/12/17,Sassuolo,Crotone,2,1,"49,61",66,94,,,1.99,1.72,3.87,5.5
I1,10/12/17,Spal,Verona,2,2,"86,88","55,69",94,,,2.07,2.24,3.44,3.54
I1,10/12/17,Udinese,Benevento,2,0,"5,41",,94,,,1.71,1.47,4.66,7.96
I1,11/12/17,Lazio,Torino,1,3,69,"54,64,73",91,46,,1.49,1.53,4.67,6.53
I1,12/12/17,Genoa,Atalanta,1,2,4,"45,52",96,,,2.12,3.39,3.43,2.3
I1,16/12/17,Inter,Udinese,1,3,15,"14,61,77",95,,,1.62,1.34,5.56,10.69
I1,16/12/17,Roma,Cagliari,1,0,93,,98,,,1.47,1.23,7.07,14.72
I1,16/12/17,Torino,Napoli,1,3,63,"4,25,30",93,,,1.67,5.24,3.86,1.75
I1,17/12/17,Atalanta,Lazio,3,3,"19,22,50","27,35,79",93,,,1.8,2.26,3.42,3.5
I1,17/12/17,Benevento,Spal,1,2,59,"64,73",94,,,2.06,2.61,3.35,2.96
I1,17/12/17,Bologna,Juventus,0,3,,"27,36,64",94,,,1.86,9,4.4,1.47
